id;basket_currency;as_at_date;basket_instrument;basket_instrument_type;basket_minor_units;basket_name;basket_ric;basket_type;family;fund_currency;is_etf;is_etc
1;withdrawal transmitting;2020-04-18;Harbors;e-markets;8272;dynamic;RAM Designer;program Handcrafted Granite Mouse program;Streamlined Technician;expedite embrace;false;false
2;Frozen algorithm Concrete;2020-04-18;bypass mint green Mill;transition;20406;homogeneous PNG;Internal Small Plastic Soap;invoice Arizona;Computers Savings Account Awesome;fuchsia innovative;true;true
3;indigo New Mexico secured line;2020-04-18;Buckinghamshire;open-source Nebraska;2807;Granite;disintermediate Books USB;Human;Car;discrete;true;true
4;Incredible purple;2020-04-17;Syrian Pound Analyst invoice;Manager;1230;GB withdrawal;Diverse Bolivia;Implementation;Table indigo;bandwidth;false;true
5;Berkshire enhance;2020-04-18;Tactics grey;Maine Philippines Decentralized;86783;24 hour;Ergonomic International;hack Electronics;Ball Optimization Incredible;Oman UIC-Franc Surinam Dollar;true;true
6;Knoll Awesome hack;2020-04-17;purple methodology;Shoals;8865;Algeria;Orchestrator empower hack;microchip;Devolved black;Usability;true;false
7;Boliviano Mvdol Cayman Islands Dollar Product;2020-04-17;AI digital haptic;Berkshire THX panel;59603;Fish Sleek Wooden Soap Refined Concrete Cheese;Shoals Drives;Ball Liaison;infrastructure Triple-buffered;Shoes;true;false
8;matrices;2020-04-17;web services Wooden Borders;value-added groupware;1126;Agent payment;Home Loan Account Rustic;Home Loan Account;Mauritius Route;engineer;false;false
9;Steel Refined;2020-04-17;Barbados moratorium;Integration;71708;Practical Soft Cheese Soft;Music;Lead;relationships Avon;JSON Delaware value-added;true;true
10;Enhanced;2020-04-18;Interactions Distributed;primary framework;97286;multi-byte input Land;niches Iowa Vermont;Officer;technologies;payment Division;true;false
