id;ric;name;mic;lot_size
1;bandwidth invoice;Regional;Montenegro Cambridgeshire connect;20856
2;generate hack Credit Card Account;Fresh Specialist;turquoise Bedfordshire Hawaii;13110
3;Human integrated;synthesize connect Moldova;infomediaries;65500
4;Utah distributed;plug-and-play Berkshire;payment withdrawal Persevering;66097
5;Tools;Buckinghamshire;compressing;94387
6;Licensed Fresh Pizza Representative Handmade Metal Mouse;generating;backing up;29419
7;invoice cutting-edge;Mongolia Architect;Buckinghamshire Electronics;86272
8;Human Baby;Implementation model Cambridgeshire;Sharable synthesize;39870
9;Refined Metal Cheese Dynamic Senior;1080p Division Re-engineered;auxiliary Upgradable;94138
10;teal;Fresh;navigating metrics Rustic Steel Pizza;53614
