id;ric;isin;sedol;currency;issue_type;mic;center_code;shares_outstanding
1;Fork Dynamic Metrics;Massachusetts Singapore;1080p Berkshire;transmit;Landing Berkshire Tasty Concrete Chips;Shoes olive 1080p;Cambridgeshire Virgin Islands, U.S. Music;69860
2;channels New York;Incredible Granite Fish sky blue;bricks-and-clicks;Assistant;Table cross-platform payment;SDD convergence;Handcrafted withdrawal;39764
3;neural killer extend;directional;sky blue;backing up invoice;Florida;target foreground Summit;mobile methodology District;58580
4;Salad Fresh;engage payment Money Market Account;Mission;payment content;Arizona neural panel;installation capacitor;withdrawal;26427
5;Inverse Operations;feed Expanded lavender;payment International;bricks-and-clicks index;Small;copying Factors;Rustic;1757
6;Cape Street Bedfordshire;Response transmitter;hack;Pitcairn Islands white USB;transmit;Seamless Pizza;disintermediate cross-platform Home Loan Account;58787
7;algorithm application;Lead;red panel payment;Metal;Division initiatives orchid;Buckinghamshire;Macao Pa'anga tan;89969
8;Baby AI;harness Plains;neural Indian Rupee Licensed Fresh Pants;Oval Virtual;Namibia;Small Metal Car;Turkey Toys;23773
9;Jewelery Cordoba Oro;Investment Account system;Granite;turquoise Assurance capacitor;Pants Personal Loan Account;compressing Infrastructure;invoice invoice Outdoors;55603
10;feed solution-oriented;feed Tennessee deposit;Sudanese Pound;Accounts scalable;Facilitator Micronesia deposit;calculate Cove reboot;black;87134
