id;basket_currency;as_at_date;basket_instrument;basket_instrument_type;basket_minor_units;basket_name;basket_ric;basket_type;family;fund_currency;is_etf;is_etc
1;Refined Cotton Pants Cambridgeshire;2020-04-18;array Fantastic Frozen Tuna;bandwidth New Mexico;1589;Trafficway Internal policy;Functionality Savings Account;unleash motivating;CSS withdrawal;platforms SMS tertiary;false;false
2;Cheese;2020-04-17;generating Virginia;scale Heard Island and McDonald Islands;51852;directional yellow;platforms Borders;frame Bedfordshire Harbors;Nevada Keyboard;Generic Plastic Pants Checking Account navigate;false;false
3;International Parkway Table;2020-04-18;connecting XML;Missouri Cambridgeshire Tuna;720;teal Salad;Bedfordshire;payment New Jersey backing up;payment SQL hard drive;Factors;false;false
4;override;2020-04-18;Practical Soft Mouse users;Metal;19368;Dynamic;Borders metrics Chief;Strategist Configuration;Configuration Digitized;Cambridgeshire UAE Dirham;true;true
5;Product virtual;2020-04-17;Credit Card Account Auto Loan Account Australian Dollar;withdrawal;38458;Argentine Peso South Carolina;AI Baby;Frozen SSL Avon;maroon generate;Personal Loan Account interfaces bi-directional;true;true
6;Generic Wooden Chips Soap Granite;2020-04-17;Awesome;neural application transform;39812;transmit pixel Shore;black SQL;Credit Card Account Bike;Investor;Mountain local area network Sausages;true;true
7;Principal;2020-04-17;software;Investment Account;16455;B2B;seamless haptic;CFA Franc BCEAO Checking Account navigate;Concrete Bedfordshire;index Chicken;true;true
8;backing up Kip COM;2020-04-18;Buckinghamshire generating;Meadows copy budgetary management;34296;Generic Frozen Shirt Corporate;Ergonomic;national Somoni Orchestrator;fuchsia silver;task-force;false;false
9;Electronics;2020-04-17;customized;whiteboard program Cayman Islands Dollar;95075;Synergistic;discrete deposit;Ukraine transition generate;Intelligent Kids;Implemented Principal Cambridgeshire;false;false
10;middleware;2020-04-17;index AGP morph;models pixel;28236;Towels systems Licensed;multimedia Wyoming Division;parse;online;silver redundant 1080p;false;false
